variant,seed,episodes,tail,tail_reward_mean,tail_final_hold_mean,tail_balanced_hold_mean,tail_success_rate,tail_peak_mean,tail_capture_drop_rate,tail_cart_hit_rate,tail_action_abs_mean,last_replay_saturation_fraction,last_replay_capture_fraction,last_replay_near_capture_fraction,last_replay_non_crash_transitions,tail_capture_rows,tail_down_rows
capture_prefill_safe,1,40,15,-739.9231963314355,0.0,0.0,0.0,0.9998277001468915,1.0,1.0,0.45959923150738846,0.5136666666666667,1.0,0.25033333333333335,9000,15,0
capture_prefill_safe,2,40,15,-741.8525826210632,0.0,0.0,0.0,0.9996568432577817,1.0,1.0,0.4613841419944817,0.5282222222222223,1.0,0.25366666666666665,9000,15,0
capture_prefill_safe,3,40,15,-743.664714558356,0.0,0.0,0.0,0.9996919316828655,1.0,1.0,0.4601577086006687,0.5165555555555555,1.0,0.2451111111111111,9000,15,0
capture_prefill_safe,4,40,15,-741.8733182328529,0.0,0.0,0.0,0.9997735311541917,1.0,1.0,0.4595761838271359,0.5108888888888888,1.0,0.23333333333333334,9000,15,0
capture_prefill_safe,5,40,15,7.683239721647568,0.3716666666666667,0.3716666666666667,0.26666666666666666,0.9999093208019142,0.26666666666666666,0.0,0.3321219117034742,0.24877777777777776,1.0,0.5638888888888889,9000,15,0
capture_prefill_safe,6,40,15,33.87803706538868,0.4216666666666667,0.4216666666666667,0.26666666666666666,0.9996375158267702,0.06666666666666667,0.0,0.3717617269435135,0.3171111111111111,1.0,0.5988888888888889,9000,15,0
capture_prefill_safe,7,40,15,-743.2641209613613,0.0,0.0,0.0,0.999825785108088,1.0,1.0,0.4612899218591809,0.5141111111111111,1.0,0.2511111111111111,9000,15,0
capture_prefill_safe,8,40,15,-34.40644528789958,0.21666666666666667,0.21666666666666667,0.13333333333333333,0.9998297390087154,0.6,0.0,0.2753667085051586,0.14355555555555555,1.0,0.5585555555555556,9000,15,0
capture_prefill_safe,9,40,15,-2.532935439624568,0.2833333333333333,0.2833333333333333,0.13333333333333333,0.9999346803161914,0.3333333333333333,0.0,0.3528342053040684,0.17877777777777779,1.0,0.624,9000,15,0
capture_prefill_safe_actor_gate,0,40,15,-198.13170221086736,0.0,0.0,0.0,0.999822990172937,0.8666666666666667,0.4666666666666667,0.33353076644452034,0.3403333333333333,1.0,0.5038888888888889,9000,15,0
capture_prefill_safe_actor_gate,1,40,15,-739.9231957558641,0.0,0.0,0.0,0.9998277001457907,1.0,1.0,0.45959923087160565,0.4801111111111111,1.0,0.2604444444444444,9000,15,0
capture_prefill_safe_actor_gate,2,40,15,-96.34150302731773,0.0,0.0,0.0,0.999805598747333,0.8666666666666667,0.0,0.35796083159269526,0.3371111111111111,1.0,0.4262222222222222,9000,15,0
capture_prefill_safe_actor_gate,3,40,15,-743.6647151297358,0.0,0.0,0.0,0.999691931688093,1.0,1.0,0.46015770922651733,0.49477777777777776,1.0,0.26255555555555554,9000,15,0
capture_prefill_safe_actor_gate,4,40,15,-741.8733185022332,0.0,0.0,0.0,0.9997735311544855,1.0,1.0,0.45957618411522494,0.5033333333333333,1.0,0.26322222222222225,9000,15,0
capture_prefill_safe_actor_gate,5,40,15,-744.5093861597865,0.0,0.0,0.0,0.9997370993239201,1.0,1.0,0.4592386894941433,0.49766666666666665,1.0,0.2648888888888889,9000,15,0
capture_prefill_safe_actor_gate,6,40,15,37.6787174071411,0.4666666666666667,0.4666666666666667,0.26666666666666666,0.9998208937161407,0.13333333333333333,0.0,0.2790859234619931,0.1988888888888889,1.0,0.6857777777777778,9000,15,0
capture_prefill_safe_actor_gate,7,40,15,-743.2641212139829,0.0,0.0,0.0,0.9998257851076493,1.0,1.0,0.46128992214727,0.5083333333333333,1.0,0.2644444444444444,9000,15,0
capture_prefill_safe_actor_gate,8,40,15,-748.3827671813341,0.0,0.0,0.0,0.9995831476336783,1.0,1.0,0.46005172352198387,0.48944444444444446,1.0,0.25722222222222224,9000,15,0
capture_prefill_safe_actor_gate,9,40,15,-742.6014465568959,0.0,0.0,0.0,0.9998965277250135,1.0,1.0,0.4606995516804023,0.49133333333333334,1.0,0.25922222222222224,9000,15,0
