variant,seed,episode,episode_reward,episode_length,transition_direction,final_hold,balanced_hold,episode_success,peak_target_score,termination_reason,capture_drop_penalty,cart_limit_step_penalty,safety_penalty,action_abs_mean,replay_size,replay_saturation_fraction,replay_capture_fraction,replay_near_capture_fraction,replay_non_crash_transitions
capture_only,1,7,-665.7385959831538,200,capture_vertical,0.0,0.0,0.0,0.999996193139489,max_steps,-0.5,-1.425,-2.8325340646831476,0.41423787876280843,1600,0.2775,1.0,0.330625,1600
capture_only,1,8,-80.73005687566456,200,capture_vertical,0.0,0.0,0.0,0.9999988106111307,max_steps,-0.5,0.0,-0.0049661665741691915,0.15555447184314597,1800,0.24666666666666667,1.0,0.39,1800
capture_only,1,9,-92.7565745018693,200,capture_vertical,0.0,0.0,0.0,0.999954550340122,max_steps,-0.5,0.0,-0.031720541161781905,0.194537524389445,2000,0.229,1.0,0.4105,2000
capture_only,1,10,-159.0157812712619,200,capture_vertical,0.0,0.0,0.0,0.9992652510891594,max_steps,-0.5,0.0,-0.3113695051344252,0.2570659250122627,2200,0.22318181818181818,1.0,0.4,2200
capture_only,1,11,-248.37489839550275,200,capture_vertical,0.0,0.0,0.0,0.9999879389029553,max_steps,-0.5,-0.3,-0.7467259188011578,0.3812908072006425,2400,0.23791666666666667,1.0,0.3908333333333333,2400
capture_only,1,12,-183.5196326000879,200,capture_vertical,0.0,0.0,0.0,0.9999991439093175,max_steps,-0.5,-0.2,-0.447882202290502,0.34301505316851405,2600,0.245,1.0,0.3869230769230769,2600
capture_only,1,13,-143.89064511643622,200,capture_vertical,0.0,0.0,0.0,0.9999996848935585,max_steps,-0.5,-0.075,-0.26316258306887613,0.3340630847032125,2800,0.24285714285714285,1.0,0.3914285714285714,2800
capture_only,1,14,-98.43192423022808,200,capture_vertical,0.0,0.0,0.0,0.9998582210189266,max_steps,-0.5,0.0,-0.03453082693922412,0.2923905894122111,3000,0.23833333333333334,1.0,0.391,3000
capture_only,1,15,-89.24735466717962,200,capture_vertical,0.0,0.0,0.0,0.9999974641177587,max_steps,-0.5,0.0,-0.0012437221450336947,0.21225020007285952,3200,0.22875,1.0,0.3975,3200
capture_only,1,16,-85.20708237476948,200,capture_vertical,0.0,0.0,0.0,0.9988919795839264,max_steps,-0.5,0.0,-6.476257756701897e-05,0.18699832415363446,3400,0.21676470588235294,1.0,0.40941176470588236,3400
capture_only,1,17,-87.57259622906027,200,capture_vertical,0.0,0.0,0.0,0.999983532820138,max_steps,-0.5,0.0,-2.907203761199164e-05,0.2206299865086836,3600,0.2086111111111111,1.0,0.42,3600
capture_only,1,18,18.79873040752292,200,capture_vertical,0.0,0.0,0.0,0.9997713562757822,max_steps,0.0,0.0,-9.235156966604242e-06,0.30825763124508465,3800,0.20763157894736842,1.0,0.44552631578947366,3800
capture_only,1,19,-82.44433473276949,200,capture_vertical,0.0,0.0,0.0,0.9991259663411285,max_steps,-0.5,0.0,-3.383365912347939e-07,0.3289333171796477,4000,0.21175,1.0,0.4675,4000
capture_only,1,20,-83.4375905467215,200,capture_vertical,0.0,0.0,0.0,0.9999615093865855,max_steps,-0.5,0.0,-1.637899555973347e-05,0.3484830836691819,4200,0.21428571428571427,1.0,0.48547619047619045,4200
capture_only,1,21,18.246316519059906,200,capture_vertical,0.125,0.125,0.0,0.9999866459821275,max_steps,0.0,0.0,-4.7076945460080995e-06,0.3790964099642558,4400,0.2215909090909091,1.0,0.5079545454545454,4400
capture_only,1,22,16.864368497679425,200,capture_vertical,0.0,0.0,0.0,0.9998565074633153,max_steps,0.0,0.0,-3.368796440161352e-05,0.41127356408626825,4600,0.23282608695652174,1.0,0.5278260869565218,4600
capture_only,1,23,121.31719207544882,200,capture_vertical,1.0,1.0,1.0,0.9997047006839589,max_steps,0.0,0.0,-7.1712759432803085e-06,0.40584211964786504,4800,0.24104166666666665,1.0,0.5475,4800
capture_only,1,24,17.750416349795803,200,capture_vertical,0.25,0.25,0.0,0.998050748196982,max_steps,0.0,0.0,-3.267916804296329e-05,0.37064971486119674,5000,0.246,1.0,0.5646,5000
capture_only,1,25,19.66354143066393,200,capture_vertical,0.9,0.9,1.0,0.99999988957067,max_steps,0.0,0.0,-5.2906433702401545e-05,0.38981850716667993,5200,0.24980769230769231,1.0,0.5813461538461538,5200
capture_only,1,26,-83.50801799539565,200,capture_vertical,0.0,0.0,0.0,0.9999988670905581,max_steps,-0.5,0.0,-0.002157499111848226,0.32492404275199227,5400,0.25074074074074076,1.0,0.5898148148148148,5400
capture_only,1,27,-82.7904983848646,200,capture_vertical,0.0,0.0,0.0,0.9999989696563714,max_steps,-0.5,0.0,-0.001398158113903796,0.31631485092487244,5600,0.25089285714285714,1.0,0.5992857142857143,5600
capture_only,1,28,-82.88279898929834,200,capture_vertical,0.0,0.0,0.0,0.9997824794834005,max_steps,-0.5,0.0,-0.006605101632765394,0.27151155241254055,5800,0.2470689655172414,1.0,0.6056896551724138,5800
capture_only,1,29,128.31125592377893,200,capture_vertical,1.0,1.0,1.0,0.9998017088289856,max_steps,0.0,0.0,-0.0009387727606656235,0.23382519692187387,6000,0.24133333333333334,1.0,0.6188333333333333,6000
capture_only,1,30,-82.75703347146931,200,capture_vertical,0.0,0.0,0.0,0.9999998228544122,max_steps,-0.5,0.0,-0.004772437217860085,0.20083947147679496,6200,0.23661290322580644,1.0,0.6225806451612903,6200
capture_only,1,31,-77.4639264953478,200,capture_vertical,0.0,0.0,0.0,0.999931073077771,max_steps,-0.5,0.0,-0.00019257492551671363,0.2154378199120759,6400,0.231875,1.0,0.6290625,6400
capture_only,1,32,-73.96329587642205,200,capture_vertical,0.375,0.375,0.0,0.9999974314091411,max_steps,-0.5,0.0,-0.000349810930129886,0.2079896628498748,6600,0.22666666666666666,1.0,0.6378787878787879,6600
capture_only,1,33,24.779636913036,200,capture_vertical,0.0,0.0,0.0,0.9999938933904716,max_steps,0.0,0.0,-0.0003313467293525383,0.21668269784586808,6800,0.22176470588235295,1.0,0.6460294117647059,6800
capture_only,1,34,-75.45673791109725,200,capture_vertical,0.0,0.0,0.0,0.9999970898791407,max_steps,-0.5,0.0,-0.000339627072610079,0.18179718143942528,7000,0.21642857142857144,1.0,0.6522857142857142,7000
capture_only,1,35,25.301591780489595,200,capture_vertical,0.0,0.0,0.0,0.9999997179157487,max_steps,0.0,0.0,-8.157349608112898e-06,0.19513177179093957,7200,0.21180555555555555,1.0,0.6595833333333333,7200
capture_only,1,36,27.4264554304312,200,capture_vertical,0.475,0.475,0.0,0.9999963819627969,max_steps,0.0,0.0,-9.182441892182406e-06,0.21945439516412557,7400,0.20824324324324325,1.0,0.6687837837837838,7400
capture_only,1,37,130.31910296956994,200,capture_vertical,1.0,1.0,1.0,0.999999999523209,max_steps,0.0,0.0,-0.00017246027439088302,0.20477445667064825,7600,0.20407894736842105,1.0,0.6775,7600
capture_only,1,38,31.11648340813508,200,capture_vertical,0.875,0.875,1.0,0.9999990936056354,max_steps,0.0,0.0,-3.842323473255648e-05,0.16306220425442997,7800,0.19948717948717948,1.0,0.6857692307692308,7800
capture_only,1,39,131.27556146114793,200,capture_vertical,1.0,1.0,1.0,0.9999935102987006,max_steps,0.0,0.0,-5.293967660449189e-05,0.19476290964740264,8000,0.19525,1.0,0.693625,8000
capture_only,2,0,133.09167000276054,200,capture_vertical,1.0,1.0,1.0,0.9999997886837114,max_steps,0.0,0.0,-2.0842123256132455e-06,0.08484737084699023,200,0.0,1.0,1.0,200
