policy,seed,step,action,applied_force,target_score,end_y,q1,q2,q1_dot,q2_dot,reward,capture_drop,termination_reason
zero_action,0,18,0.0,0.0,0.9994213783044467,0.6664446110318727,1.5923885549542065,1.6002274349515888,-0.08368660848035356,-0.016342247108980783,1.5035661741982749,False,
zero_action,0,19,0.0,0.0,0.9994438446243223,0.6664521156881733,1.591551688869403,1.600064012480499,-0.08259243613116674,-0.016561550801036617,1.4399226843623891,False,
zero_action,0,20,0.0,0.0,0.9994656751922436,0.6664593266570641,1.5907257645080914,1.5998983969724887,-0.08155757949278243,-0.01671981707713454,1.382204500371578,False,
zero_action,0,21,0.0,0.0,0.999486881237248,0.6664662504996512,1.5899101887131637,1.5997311988017173,-0.08057936079680887,-0.01682027893093766,1.329620983548426,False,
zero_action,0,22,0.0,0.0,0.999507474029401,0.6664728933005976,1.5891043951051955,1.599562996012408,-0.07965540531637391,-0.01686597435473821,1.2815161806370576,False,
zero_action,0,23,0.0,0.0,0.9995274648896442,0.6664792607161091,1.5883078410520317,1.5993943362688607,-0.07878357577404713,-0.01685975917248197,1.2373413119937102,False,
zero_action,0,24,0.0,0.0,0.9995468651865833,0.6664853580118224,1.5875200052942913,1.599225738677136,-0.07796192594698202,-0.016804318353113506,1.1966337396612128,False,
zero_action,0,25,0.0,0.0,0.999565686325337,0.666491190093154,1.5867403860348215,1.5990576954936049,-0.0771886674954913,-0.01670217614923349,1.1590007017902078,False,
zero_action,0,26,0.0,0.0,0.9995839397318416,0.6664967615299056,1.5859684993598666,1.5988906737321125,-0.07646214592016126,-0.01655570530440642,1.124106598936345,False,
zero_action,0,27,0.0,0.0,0.9996016368348392,0.6665020765763916,1.585203877900665,1.5987251166790684,-0.07578082283968748,-0.016367135502401167,1.0916629590325595,False,
zero_action,0,28,0.0,0.0,0.9996187890469984,0.6665071391880124,1.5844460696722682,1.5985614453240444,-0.07514326266325758,-0.016138561183289317,1.0614204448727247,False,
zero_action,0,29,0.0,0.0,0.9996354077460942,0.6665119530349394,1.5836946370456355,1.5984000597122114,-0.07454812233522973,-0.015871948817868867,1.0331624349592088,False,
zero_action,0,30,0.0,0.0,0.9996515042568231,0.6665165215134166,1.5829491558222832,1.5982413402240327,-0.07399414324355907,-0.015569143708655996,1.0066998278176635,False,
zero_action,0,31,0.0,0.0,0.9996670898336012,0.6665208477550615,1.5822092143898476,1.5980856487869461,-0.0734801446668472,-0.015231876369492919,0.9818668060805353,False,
zero_action,0,32,0.0,0.0,0.9996821756445361,0.6665249346344637,1.5814744129431793,1.5979333300232512,-0.07300501832909455,-0.01486176852445683,0.9585173596597856,False,
zero_action,0,33,0.0,0.0,0.9996967727566649,0.6665287847753137,1.5807443627598883,1.5977847123380067,-0.07256772376433913,-0.014460338758716159,0.9365224138971677,False,
zero_action,0,34,0.0,0.0,0.9997108921224839,0.6665324005552556,1.580018685522245,1.5976401089504195,-0.07216728428463029,-0.014029007848231339,0.9157674433324315,False,
zero_action,0,35,0.0,0.0,0.9997245445677547,0.6665357841096158,1.5792970126793986,1.5974998188719371,-0.07180278340739774,-0.013569103791028658,0.8961504779066704,False,
zero_action,0,36,0.0,0.0,0.9997377407805458,0.6665389373341364,1.5785789848453247,1.597364127834027,-0.07147336164126807,-0.013081866559700688,0.877580428309705,False,
