gain_index,kp_angle,kd_angle,kp_cart,kd_cart,seed,episodes,final_hold,success_rate,drop_rate,cart_hit_rate,action_saturation,max_abs_cart_x,angular_speed_near_target,brief_target_contact_rate,sustained_hold_rate,drop_after_contact_rate,mean_abs_action,reward_mean,episode_length_mean
147,4.0,0.05,0.1,0.02,6,3,0.008333333333333333,0.0,0.6666666666666666,0.0,0.38999999999999996,0.6182885300192192,2.3697901023595764,1.0,1.0,0.6666666666666666,0.29331612169051674,-54.76949219214756,200.0
147,4.0,0.05,0.1,0.02,7,3,0.06666666666666667,0.0,0.6666666666666666,0.0,0.47333333333333333,0.5247158626136502,2.747140659518647,1.0,1.0,0.6666666666666666,0.35384161509021483,-59.92992627842316,200.0
147,4.0,0.05,0.1,0.02,8,3,0.09166666666666667,0.0,0.6666666666666666,0.0,0.24666666666666667,0.37238142920421774,1.6232849106047151,1.0,1.0,0.6666666666666666,0.22289996927311354,-49.095030155347125,200.0
147,4.0,0.05,0.1,0.02,9,3,0.10833333333333334,0.0,0.6666666666666666,0.0,0.3333333333333333,0.3038681412132609,2.3108999146628224,1.0,1.0,0.6666666666666666,0.28596364241837263,-53.40820755831499,200.0
148,4.0,0.05,0.1,0.05,0,3,0.0,0.0,0.6666666666666666,0.0,0.2733333333333333,0.721367256700625,2.0466431559592686,1.0,1.0,0.6666666666666666,0.24972947402388548,-58.194187186438114,200.0
148,4.0,0.05,0.1,0.05,1,3,0.0,0.0,1.0,0.0,0.26499999999999996,0.39561280991250736,1.7441400141937304,1.0,1.0,1.0,0.24890305881189645,-85.49018270446221,200.0
148,4.0,0.05,0.1,0.05,2,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.11499999999999999,0.15869209729538433,1.260008297684028,1.0,1.0,0.3333333333333333,0.17022841155276272,22.02660540652577,200.0
148,4.0,0.05,0.1,0.05,3,3,0.2833333333333333,0.3333333333333333,0.6666666666666666,0.0,0.015000000000000001,0.13924936254863512,1.048456911268331,1.0,1.0,0.6666666666666666,0.09468908254253249,-43.36957943491412,200.0
148,4.0,0.05,0.1,0.05,4,3,0.3416666666666666,0.3333333333333333,0.0,0.0,0.06,0.09858203056558058,1.2873054337351275,1.0,1.0,0.0,0.13748183613056117,56.27234328105192,200.0
148,4.0,0.05,0.1,0.05,5,3,0.4666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.08833333333333333,0.12438348728198477,1.1703945459991252,1.0,1.0,0.3333333333333333,0.1526471633172958,22.950347154334196,200.0
148,4.0,0.05,0.1,0.05,6,3,0.05833333333333333,0.0,0.6666666666666666,0.0,0.225,0.25908883538822086,1.7470072050252528,1.0,1.0,0.6666666666666666,0.2227831370124659,-49.753547291711584,200.0
148,4.0,0.05,0.1,0.05,7,3,0.25,0.0,0.6666666666666666,0.0,0.2283333333333333,0.27142180308221764,1.9419280434574526,1.0,1.0,0.6666666666666666,0.27046025930613454,-54.049233424426966,200.0
148,4.0,0.05,0.1,0.05,8,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.11166666666666665,0.23044310526190556,1.054365216179783,1.0,1.0,0.6666666666666666,0.13722642925734582,-10.261841630613404,200.0
148,4.0,0.05,0.1,0.05,9,3,0.375,0.3333333333333333,0.3333333333333333,0.0,0.1366666666666667,0.19795959897300355,1.558947971855866,1.0,1.0,0.3333333333333333,0.1916769357962156,19.928292740534655,200.0
149,4.0,0.05,0.1,0.1,0,3,0.25,0.0,0.3333333333333333,0.0,0.06333333333333334,0.137326016304399,1.1417268121272481,1.0,1.0,0.3333333333333333,0.11601883627570092,-10.714319231526005,200.0
149,4.0,0.05,0.1,0.1,1,3,0.0,0.0,0.6666666666666666,0.0,0.04833333333333333,0.14029403332041657,1.0528145233316308,1.0,1.0,0.6666666666666666,0.10325358802610644,-44.03885508822433,200.0
149,4.0,0.05,0.1,0.1,2,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.06066362263075511,0.709712247529437,1.0,1.0,0.3333333333333333,0.04787735831901719,30.36038307882099,200.0
149,4.0,0.05,0.1,0.1,3,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.10405519781115645,0.7613183900135535,1.0,1.0,0.6666666666666666,0.023489280933305906,-4.9001544805062975,200.0
