episode_reward,episode_length,final_hold,success,peak_target_score,brief_target_contact,sustained_hold,drop_after_contact,capture_drop,cart_hit,action_saturation,action_abs_mean,max_abs_cart_x,angular_speed_near_target,termination_reason,policy,seed,episode
29.81565161648723,200,0.0,0.0,0.9997550368028366,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008342719209734978,0.7889857418077525,max_steps,zero_action,2,0
139.31172539221075,200,1.0,1.0,0.9999125313855574,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0038514889853621184,0.14188416027631845,max_steps,zero_action,2,1
-73.12679340355439,200,0.0,0.0,0.9999959001454946,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.008139503953608879,0.8217261946286836,max_steps,zero_action,2,2
30.469372404006947,200,0.0,0.0,0.9998955796054135,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0015600996274946915,0.5624530135738665,max_steps,zero_action,2,3
-78.39650274829226,200,0.0,0.0,0.9999644846511418,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.007816187435401368,0.9915542725060246,max_steps,zero_action,2,4
27.643233016344112,200,0.0,0.0,0.999806381835886,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009473968075357435,0.8422444539605018,max_steps,zero_action,2,5
29.113273014673126,200,0.0,0.0,0.99937402793616,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009222508270699146,0.773280815628728,max_steps,zero_action,2,6
-72.47222241551395,200,0.0,0.0,0.9977816885613622,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.010978788583588391,0.6524188927418687,max_steps,zero_action,2,7
28.002308587543155,200,0.0,0.0,0.9999819233466591,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008722518616248245,0.8538466249770572,max_steps,zero_action,2,8
-73.94387795123382,200,0.0,0.0,0.9995678519115283,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.008006926889789647,0.8049239256780568,max_steps,zero_action,2,9
28.993249165487057,200,0.0,0.0,0.9999995576316999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009228136271730202,0.7010859410602639,max_steps,zero_action,2,10
34.48748729538295,200,0.775,0.0,0.9999986673033364,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.006405801886566586,0.5228942883373516,max_steps,zero_action,2,11
139.3924305576622,200,1.0,1.0,0.9995206454434648,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.005064173782209085,0.12576067817373876,max_steps,zero_action,2,12
28.860655587234305,200,0.0,0.0,0.9998477441612361,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.011031682801259457,0.6242199012671705,max_steps,zero_action,2,13
138.9611473326933,200,1.0,1.0,0.9992305529108712,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.006002099723290906,0.17439611980839417,max_steps,zero_action,2,14
